,index,Open,High,Low,Close,Volume,Datetime,period_low,period_high,candle_pattern,position,position_active,sma_10,sma_20,sma_30,trend,category,stop_loss,target
0,0,456.5,458.85,449.05,454.65,1665441,2024-05-06 09:15:00+05:30,0.0,0.0,0,0,0,,,,0,0,,
1,1,454.55,455.3,451.4,451.75,881781,2024-05-06 09:16:00+05:30,446.9,455.3,0,0,0,,,,0,0,,
2,2,452.4,454.25,450.0,454.0,916987,2024-05-06 09:17:00+05:30,446.9,455.3,0,0,0,,,,0,0,,
3,3,454.2,454.3,451.8,452.75,636438,2024-05-06 09:18:00+05:30,446.9,455.3,0,0,0,,,,0,0,,
4,4,452.9,453.9,449.55,449.8,713015,2024-05-06 09:19:00+05:30,446.9,455.3,0,0,0,,,,0,0,,
5,5,449.65,449.65,446.9,448.2,546365,2024-05-06 09:20:00+05:30,438.25,449.65,0,0,0,,,,0,0,,
6,6,448.15,449.05,444.0,446.45,718913,2024-05-06 09:21:00+05:30,438.25,449.65,0,0,0,,,,0,0,,
7,7,446.3,446.3,441.25,442.8,548802,2024-05-06 09:22:00+05:30,438.25,449.65,0,0,0,,,,0,0,,
8,8,442.85,443.75,439.0,439.65,637702,2024-05-06 09:23:00+05:30,438.25,449.65,0,0,0,,,,0,0,,
9,9,439.25,440.95,438.25,440.75,558059,2024-05-06 09:24:00+05:30,437.0,442.2,0,0,0,448.08,,,0,0,,
10,10,440.95,442.2,438.9,440.4,761352,2024-05-06 09:25:00+05:30,437.0,442.2,0,0,0,446.66,,,0,0,,
11,11,440.9,441.15,439.1,439.7,512431,2024-05-06 09:26:00+05:30,437.0,442.2,0,0,0,445.45,,,0,0,,
12,12,439.95,439.95,437.1,437.5,555906,2024-05-06 09:27:00+05:30,437.0,442.2,-1,-1,1,443.8,,,0,0,439.95,433.82500000000005
13,13,437.2,438.65,437.0,438.25,335896,2024-05-06 09:28:00+05:30,436.35,439.9,0,0,-1,442.35,,,0,0,,
14,14,438.4,439.9,438.3,439.1,267057,2024-05-06 09:29:00+05:30,436.35,439.9,0,0,-1,441.28,,,0,0,,
15,15,439.4,439.55,436.4,436.65,280425,2024-05-06 09:30:00+05:30,436.35,439.9,-1,0,-1,440.12,,,0,0,,
16,16,436.5,438.3,436.35,438.15,200890,2024-05-06 09:31:00+05:30,436.35,439.9,0,0,-1,439.29,,,0,0,,
17,17,438.4,438.9,437.05,438.55,348315,2024-05-06 09:32:00+05:30,434.15,440.0,0,0,-1,438.87,,,0,0,,
18,18,438.55,440.0,438.0,439.95,443763,2024-05-06 09:33:00+05:30,434.15,440.0,0,0,0,438.9,,,0,0,,
19,19,439.9,439.95,438.1,438.1,313822,2024-05-06 09:34:00+05:30,434.15,440.0,0,0,0,438.64,443.36,,0,0,,
